id,date,description,debit,credit,account_ref
BNK-000290,17/03/2024,Ödəniş - Günəş Ticarət MMC,,"2.149,32",TEST684041
BNK-000291,02/01/2024,Malların dəyəri - Çinar Tikinti MMC,,"1.540,12",TEST503951
BNK-000292,07/03/2024,Fatura ödənişi - Qızıl Balıq Restoran...,,"899,10",TEST699743
BNK-000293,22/01/2024,Fatura ödənişi - Nərg...,,"2.288,95",TEST166340
BNK-000294,04/03/2024,Ödəniş - Bahar Qida MMC,,"6.362,51",TEST755395
BNK-000295,12/02/2024,Ödəniş - Öznur Xidmətləri,,"2.318,03",TEST498343
BNK-000296,12/02/2024,Ödəniş  -  çinar  Tikinti  MMC,,"2.318,03",TEST498343
BNK-000297,10/02/2024,Toplu mədaxil,,"616,55",TEST310608
BNK-000298,13/03/2024,Malların  dəyəri  -  İpək  Yolu  TICARƏT,,"1.057,52",TEST219420
BNK-000299,26/02/2024,Ödəniş  -  ŞƏFƏQ  Baytarlıq  Kliniki,,"8.446,33",TEST319832
BNK-000300,24/02/2024,Toplu mədaxil,,"1.021,69",TEST261630
BNK-000301,01/02/2024,Malların  dəyəri  -  Qızıl  Balıq  restoranı,,"3.457,72",TEST214682
BNK-000302,12/02/2024,Malların dəyəri - Çinar Tikinti MMC,,"4.184,54",TEST889245
BNK-000303,27/02/2024,Toplu mədaxil,,"521,51",TEST703178
BNK-000304,11/02/2024,Ödəniş - Günəş Ticarət MMC,,"4.836,32",TEST209627
BNK-000305,13/02/2024,Xidmət  haqqı  -  ULDUZ  Tekstil,,"2.397,25",TEST427040
BNK-000306,15/01/2024,Mədaxil - Öznur Xidmətləri,,"128,41",TEST146853
BNK-000307,07/03/2024,Ödəniş - Xəzər Konsalting,,"2.903,59",TEST355761
BNK-000308,21/02/2024,Xidmət haqqı - Xəzər Konsalting,,"3.311,75",TEST936507
BNK-000309,26/01/2024,Ödəniş - Çinar Tikinti MMC,,"3.114,85",TEST743937
BNK-000310,09/01/2024,  Fatura ödənişi - Günəş Ticarət MMC ,,"3.036,96",TEST391865
BNK-000311,26/03/2024,Fatura ödənişi - Bahar Qida MMC,,"4.532,69",TEST375097
BNK-000312,16/03/2024,Ödəniş - Öznur Xidmətləri,,"608,90",TEST511612
BNK-000313,16/03/2024,Ödəniş - Öznur Xidmətləri,,"608,90",TEST511612
BNK-000314,16/03/2024,Fatura  ödənişi  -  Qızıl  Balıq  Restoranı,,"454,34",TEST744333
BNK-000315,28/02/2024,Xidmət haqqı - İpək Yolu Ticarət,,"732,82",TEST507333
BNK-000316,25/03/2024,Xidmət haqqı - Xəzər...,,"2.919,34",TEST827117
BNK-000317,15/02/2024,Ödəniş - Bahar Qida MMC,,"60,24",TEST156215
BNK-000318,15/02/2024,Ödəniş - Xəzər Konsalting,,"60,24",TEST156215
BNK-000319,03/03/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"2.189,10",TEST817956
BNK-000320,24/12/2023,  Ödəniş - Ulduz Tekstil ,,"1.451,02",TEST331241
BNK-000321,09/03/2024,Malların dəyəri - Günəş Ticarət MMC,,"2.688,09",TEST693127
BNK-000322,26/04/2024,Ödəniş - Çinar Tikinti MMC,,"1.155,78",TEST143631
BNK-000323,15/02/2024,Mədaxil - Günəş Ticarət MMC,,"2.311,99",TEST375581
BNK-000324,19/03/2024,Toplu mədaxil,,"1.247,86",TEST467663
BNK-000325,06/03/2024,Fatura ödənişi - Qızıl Balıq Restoranı,,"4.729,40",TEST999695
BNK-000326,17/01/2024,Xidmət haqqı - Xəzər Konsalting,,"1.319,02",TEST835499
BNK-000327,12/01/2024,Fatura ödənişi - Zümrüd Logistika,,"2.122,09",TEST764406
BNK-000328,16/03/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"4.565,57",TEST443187
BNK-000329,09/01/2024,Toplu mədaxil,,"783,63",TEST831160
BNK-000330,07/01/2024,Ödəniş - Günəş Ticarət MMC,,"250,87",TEST815707
BNK-000331,29/03/2024,Fatura  ödənişi  -  Xəzər  Konsalting,,"4.777,91",TEST312146
BNK-000332,24/03/2024,Mədaxil - Şəms MMC,,"877,82",TEST796787
BNK-000333,13/01/2024,Xidmət  haqqı  -  Ulduz  Tekstil,,"15,69",TEST837880
BNK-000334,17/01/2024,Ödəniş  -  günəş  Ticarət  MMC,,"2.514,52",TEST827744
BNK-000335,18/01/2024,Mədaxil - Qızıl Balıq Restoranı,,"3.373,70",TEST501312
BNK-000336,21/03/2024,Ödəniş - Çinar Tikinti MMC,,"7.964,16",TEST323404
BNK-000337,13/01/2024,Fatura ödənişi - Günəş Ticarət MMC,,"744,07",TEST190898
BNK-000338,18/01/2024,Malların dəyəri - Nərgiz Dizayn Studiyası,,"1.309,11",TEST929504
BNK-000339,18/03/2024,Mədaxil - Ulduz Tekstil,,"2.681,36",TEST642899
BNK-000340,04/03/2024,Ödəniş - İpək Yolu Ticarət,,"3.355,38",TEST352792
BNK-000341,19/02/2024,Mədaxil - İpək Yolu Ticarət,,"4.523,14",TEST238394
BNK-000342,03/03/2024,Ödəniş - Şəms MMC,,"364,06",TEST176537
BNK-000343,06/02/2024,Xidmət haqqı - Şəfəq Baytarlıq Kliniki,,"3.305,52",TEST631219
BNK-000344,09/03/2024,Ödəniş - İpək Yolu Ticarət,,"2.828,86",TEST771652
BNK-000345,20/01/2024,Ödəniş - Öznur Xidm...,,"2.822,22",TEST947312
BNK-000346,31/01/2024,Ödəniş  -  Günəş  Ticarət  mmc,,"1.291,77",TEST987586
BNK-000347,25/03/2024,Mədaxil - Xəzər Konsalting,,"3.893,18",TEST798435
BNK-000348,07/03/2024,Mədaxil - Şəfəq Baytarlıq Kliniki,,"4.115,10",TEST648410
BNK-000349,16/01/2024,Fatura ödənişi - Şəms MMC,,"4.054,51",TEST868538
BNK-000350,14/03/2024,Fatura  ödənişi  -  Günəş  TICARƏT  MMC,,"3.300,07",TEST846925
BNK-000351,14/01/2024,MALLARIN  dəyəri  -  İpək  Yolu  Ticarət,,"4.698,54",TEST367508
BNK-000352,21/02/2024,Malların dəyəri - Şəms MMC,,"948,27",TEST481657
BNK-000353,29/01/2024,Ödəniş - Ulduz Tekstil,,"1.697,16",TEST539740
BNK-000354,29/01/2024,ÖDƏNIŞ  -  Çinar  Tikinti  MMC,,"1.697,16",TEST539740
BNK-000355,22/02/2024,Fatura ö...,,"4.607,95",TEST148159
BNK-000356,01/02/2024,Ödəniş - İpək Yolu Ticarət,,"1.940,81",TEST752966
BNK-000357,09/02/2024,Ödəniş  -  şəms  MMC,,"799,40",TEST304915
BNK-000358,01/01/2024,Toplu mədaxil,,"1.191,06",TEST110060
BNK-000359,07/03/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"2.175,60",TEST986575
BNK-000360,26/03/2024,  Malların dəyəri - İpək Yolu Ticarət ,,"402,32",TEST239999
BNK-000361,10/02/2024,Mədaxil  -  Çinar  Tikinti  MMC,,"4.865,12",TEST992247
BNK-000362,15/12/2023,Ödəniş -...,,"563,95",TEST713110
BNK-000363,31/01/2024,Fatura  ödənişi  -  Bahar  Qida  MMC,,"1.626,42",TEST475691
BNK-000364,18/03/2024,Ödəniş - Öznur Xidmətləri,,"528,28",TEST830729
BNK-000365,08/02/2024,Xidmət haqqı - Xəzər Konsalting,,"1.374,02",TEST810078
BNK-000366,02/01/2024,Xidmət haqqı - Ulduz Tekstil,,"333,32",TEST227352
BNK-000367,11/01/2024,Ödəniş - İpək Yolu Ticarət,,"3.063,05",TEST776001
BNK-000368,11/01/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"3.063,05",TEST776001
BNK-000369,12/02/2024,Xidmət haqqı - Şəms MMC,,"652,39",TEST988432
BNK-000370,24/02/2024,Fatura ödə...,,"916,00",TEST816400
BNK-000371,20/03/2024,Malların dəyəri - Ulduz Tekstil,,"3.244,73",TEST743937
BNK-000372,19/02/2024,  Malların dəyəri - Çinar Tikinti MMC ,,"729,51",TEST393366
BNK-000373,07/01/2024,Fatura ödənişi - Şəfəq Baytarlıq Kliniki,,"4.109,49",TEST933456
BNK-000374,05/03/2024,Fatura ödənişi - Çinar Tikinti MMC,,"1.696,13",TEST693128
BNK-000375,05/02/2024,Malların dəyəri - Bahar Qida MMC,,"317,18",TEST950069
BNK-000376,01/02/2024,Ödəniş - Ulduz Tekstil,,"3.453,86",TEST204998
BNK-000377,19/02/2024,Fatura ödənişi - Xəzər Konsalting,,"1.870,19",TEST703656
BNK-000378,04/01/2024,Toplu mədaxil,,"1.562,60",TEST476211
BNK-000379,19/03/2024,Fatura  ödənişi  -  Xəzər  Konsalting,,"1.066,25",TEST447848
BNK-000380,15/01/2024,Fatura ödənişi - Zümrüd Logistika,,"4.447,99",TEST911982
BNK-000381,13/01/2024,Toplu mədaxil,,"759,16",TEST514812
BNK-000382,16/03/2024,fatura  ödənişi  -  Xəzər  Konsalting,,"4.280,08",TEST797860
BNK-000383,22/03/2024,  Ödəniş - Günəş Ticarət MMC ,,"2.975,11",TEST331625
BNK-000384,22/03/2024,Ödəniş - Bahar Qida MMC,,"2.975,11",TEST331625
BNK-000385,26/03/2024,  Fatura ödənişi - Şəfəq Baytarlıq Kliniki ,,"3.360,73",TEST961574
BNK-000386,02/02/2024,Toplu mədaxil,,"573,76",TEST171087
BNK-000387,02/03/2024,Ödəniş - İpək Yolu Ticarət,,"4.145,21",TEST206355
BNK-000388,03/01/2024,Mədaxil - Nərgiz Dizayn Studiyası,,"1.680,99",TEST409234
BNK-000389,25/02/2024,  Ödəniş - İpək Yolu Ticarət ,,"6.935,86",TEST132498
BNK-000390,27/01/2024,Malların dəyəri...,,"1.006,06",TEST447177
BNK-000391,13/01/2024,  Xidmət haqqı - Çinar Tikinti MMC ,,"270,23",TEST349087
BNK-000392,24/02/2024,Ödəniş  -  Nərgiz  Dizayn  Studiyası,,"469,42",TEST104000
BNK-000393,15/01/2024,Fatura  ödənişi  -  Çinar  TIKINTI  MMC,,"1.626,65",TEST596574
BNK-000394,17/02/2024,  Fatura ödənişi - Bahar Qida MMC ,,"988,23",TEST499974
BNK-000395,08/01/2024,Xidmət haqqı - Şəfəq Baytarlıq Kliniki,,"802,35",TEST691655
BNK-000396,28/03/2024,Xidmət haqqı - Bah...,,"4.555,02",TEST661527
BNK-000397,05/03/2024,Ödəniş - Günəş Ticarət MMC,,"6.098,67",TEST136415
BNK-000398,25/01/2024,Mədaxil - Şəms MMC,,"671,57",TEST322182
BNK-000399,09/01/2024,Fatura ödənişi - Çinar Tikinti MMC,,"466,27",TEST435281
BNK-000400,07/01/2024,Xidmət haqqı - Zümrüd Logistika,,"3.090,59",TEST580412
BNK-000401,14/03/2024,Ödəniş - Günəş Ticarət MMC,,"4.097,05",TEST205071
BNK-000402,03/02/2024,Xidmət  haqqı  -  Qızıl  Balıq  Restoranı,,"2.018,25",TEST530849
BNK-000403,28/03/2024,Ödəniş - Çinar Tikinti MMC,,"3.646,78",TEST738221
BNK-000404,28/03/2024,Ödəniş  -  Şəms  mmc,,"3.646,78",TEST738221
BNK-000405,13/02/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"4.295,45",TEST121215
BNK-000406,08/02/2024,Malların dəyəri - Bahar Qida MMC,,"3.909,25",TEST240913
BNK-000407,28/01/2024,Fatura ödənişi - Çinar Tikinti MMC,,"4.799,01",TEST563173
BNK-000408,22/01/2024,Malların dəyəri - Şəfəq Baytarlıq Kliniki,,"1.641,18",TEST929937
BNK-000409,06/01/2024,Ödəniş - Ulduz Tekstil,,"1.020,63",TEST696296
BNK-000410,26/01/2024,Ödəniş - Öznur Xidmətləri,,"1.446,43",TEST838862
BNK-000411,03/03/2024,Xidmət haqqı - Bahar Qida MMC,,"3.124,49",TEST490559
BNK-000412,21/01/2024,  Ödəniş - Nərgiz Dizayn Studiyası ,,"4.401,71",TEST460971
BNK-000413,24/03/2024,Toplu mədaxil,,"647,89",TEST316773
BNK-000414,23/03/2024,Ödəniş - Çinar Tikinti MMC,,"2.978,55",TEST843826
BNK-000415,08/02/2024,Ödəniş  -  zümrüd  Logistika,,"3.560,45",TEST589368
BNK-000416,11/02/2024,  Fatura ödənişi - Nərgiz Dizayn Studiyası ,,"4.526,69",TEST771712
BNK-000417,01/02/2024,Xidmət haqqı - İpək Yolu Ticarət,,"4.232,77",TEST902658
BNK-000418,24/03/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"5.351,33",TEST126691
BNK-000419,15/03/2024,Ödəniş - Ulduz Tekstil,,"3.009,14",TEST137034
BNK-000420,01/03/2024,Ödəniş - Qızıl Balıq Restoranı,,"4.762,80",TEST923024
BNK-000421,01/03/2024,Ödəniş - Öznur Xidmətləri,,"4.762,80",TEST923024
BNK-000422,13/01/2024,Malların dəyəri - Xəzər Konsalting,,"2.478,24",TEST408054
BNK-000423,12/02/2024,Fatura ödənişi - Günəş Ticarət MMC,,"3.441,12",TEST812730
BNK-000424,03/02/2024,Xidmət  haqqı  -  Nərgiz  Dizayn  studiyası,,"3.080,07",TEST489737
BNK-000425,01/03/2024,Ödəniş - Ulduz Tekstil,,"4.673,15",TEST174675
BNK-000426,01/03/2024,  Ödəniş - Zümrüd Logistika ,,"4.673,15",TEST174675
BNK-000427,22/02/2024,Ödəniş - Bahar Qida MMC,,"2.995,31",TEST459315
BNK-000428,10/02/2024,Ödəniş - Şəms MMC,,"3.336,60",TEST285413
BNK-000429,10/02/2024,Ödəniş - Şəms MMC,,"3.336,60",TEST285413
BNK-000430,12/01/2024,Xidmət haqqı - İpək Yolu Ticarət,,"688,45",TEST613358
BNK-000431,02/01/2024,Fatura ödənişi - Ulduz Tekstil,,"2.808,55",TEST501936
BNK-000432,07/02/2024,Ödəniş - Qızıl Balıq Restoranı,,"103,93",TEST973703
BNK-000433,14/01/2024,Ödəniş - Zümrüd...,,"2.020,90",TEST235193
BNK-000434,12/03/2024,Xidmət haqqı - Öznur Xidmətləri,,"2.757,88",TEST863187
BNK-000435,15/02/2024,Xidmət  haqqı  -  Ulduz  Tekstil,,"3.942,76",TEST613989
BNK-000436,03/01/2024,Fatura ödənişi - Zümrüd Logistika,,"3.101,68",TEST321449
BNK-000437,17/03/2024,Ödəniş - Qızıl Balıq Restoranı,,"261,45",TEST150947
BNK-000438,17/03/2024,Ödəniş - Günəş Ticarət MMC,,"261,45",TEST150947
BNK-000439,22/01/2024,Ödəniş  -  Qızıl  Balıq  RESTORANI,,"3.654,80",TEST835962
BNK-000440,06/02/2024,Ödəniş - Günəş Ticarət...,,"607,75",TEST223453
BNK-000441,06/02/2024,Ödəniş - Bahar Qida MMC,,"607,75",TEST223453
BNK-000442,22/02/2024,Mədaxil - Xəzər Konsalting,,"1.558,49",TEST837606
BNK-000443,01/02/2024,Ödəniş - Qızıl Balıq Restoranı,,"76,84",TEST446663
BNK-000444,12/01/2024,Toplu mədaxil,,"404,53",TEST618105
BNK-000445,23/01/2024,Fatura ödənişi - Şəms MMC,,"4.593,01",TEST952679
BNK-000446,06/01/2024,Malların dəyəri - Xəzər Konsa...,,"60,71",TEST199613
BNK-000447,13/02/2024,Xidmət haqqı - Gün...,,"968,76",TEST490722
BNK-000448,23/02/2024,Toplu mədaxil,,"638,61",TEST991993
BNK-000449,19/03/2024,Toplu mədaxil,,"503,88",TEST559447
BNK-000450,26/02/2024,Fatura  ödənişi  -  Günəş  Ticarət  mmc,,"251,02",TEST218423
BNK-000451,13/03/2024,Ödəniş - Öznur Xidmətləri,,"3.521,91",TEST704660
BNK-000452,25/02/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"3.479,28",TEST199868
BNK-000453,25/02/2024,ÖDƏNIŞ  -  Ulduz  Tekstil,,"3.479,28",TEST199868
BNK-000454,01/03/2024,Fatura ödənişi - Bahar Qida MMC,,"4.476,25",TEST630126
BNK-000455,29/01/2024,Mədaxil  -  Qızıl  balıq  Restoranı,,"2.896,18",TEST631553
BNK-000456,08/03/2024,Xidmət  haqqı  -  GÜNƏŞ  Ticarət  MMC,,"1.667,07",TEST192295
BNK-000457,08/02/2024,Ödəniş - Zümrüd Logistika,,"4.676,74",TEST768507
BNK-000458,08/02/2024,Ödəniş - Zümrüd Logistika,,"4.676,74",TEST768507
BNK-000459,29/01/2024,Malların dəyəri - Bahar Qida MMC,,"4.436,65",TEST956255
BNK-000460,16/02/2024,Ödəniş - Günəş Ticarət MMC,,"7.606,98",TEST789089
BNK-000461,07/02/2024,Ödəniş - Zümrüd Logistika,,"2.881,47",TEST938769
BNK-000462,07/02/2024,Ödəniş - Öznur Xidmətləri,,"2.881,47",TEST938769
BNK-000463,02/02/2024,Mədaxil - Ulduz Tekstil,,"3.212,62",TEST212157
BNK-000464,23/02/2024,Malların dəyəri - Qızıl Balıq Restoranı,,"253,79",TEST893928
BNK-000465,01/01/2024,Xidmət haqqı - Şəfəq Baytarlıq Kliniki,,"2.790,63",TEST623059
BNK-000466,28/01/2024,Mədaxil - Şəfəq Ba...,,"920,42",TEST633025
BNK-000467,29/03/2024,Fatura ödənişi - Ulduz Tekstil,,"4.007,03",TEST738576
BNK-000468,20/01/2024,Malların dəyəri - İpək Yolu Ticarət,,"2.173,97",TEST943890
BNK-000469,11/03/2024,Fatura ödənişi - Ulduz Tekstil,,"3.326,55",TEST846454
BNK-000470,24/03/2024,Toplu mədaxil,,"1.297,30",TEST239116
BNK-000471,25/02/2024,ÖDƏNIŞ  -  Günəş  Ticarət  MMC,,"2.750,61",TEST399817
BNK-000472,20/02/2024,Ödəniş - Nərgiz Dizayn Studiya...,,"3.592,93",TEST923690
BNK-000473,19/02/2024,Malların dəyəri - İpək Yolu Ticarət,,"547,29",TEST133875
BNK-000474,19/02/2024,Ödəniş  -  QIZIL  Balıq  Restoranı,,"2.194,00",TEST500118
BNK-000475,28/02/2024,Ödəniş - İpək Yolu Ticarət,,"3.968,93",TEST564586
BNK-000476,24/02/2024,Ödəniş  -  Xəzər  Konsalting,,"2.363,08",TEST860127
BNK-000477,06/01/2024,Malların dəyəri - Nərgiz Dizayn Studiyası,,"2.256,61",TEST495521
BNK-000478,29/02/2024,Fatura ödənişi - Xəzər Konsalting,,"3.730,81",TEST446620
BNK-000479,18/04/2024,Ödəniş  -  i̇pək  Yolu  Ticarət,,"2.581,89",TEST755744
BNK-000480,09/01/2024,Malların dəyəri - Zümrüd Logistika,,"4.132,25",TEST645895
BNK-000481,28/01/2024,Mədaxil - Öznur Xidmətləri,,"3.487,78",TEST331942
BNK-000482,01/03/2024,Ödəniş - Qızıl Balıq Restoranı,,"2.953,01",TEST656268
BNK-000483,01/03/2024,Ödəniş - Şəms MMC,,"2.953,01",TEST656268
BNK-000484,11/02/2024,Fatura  ödənişi  -  Günəş  ticarət  MMC,,"2.009,49",TEST815706
BNK-000485,06/03/2024,Fatura ödənişi - Bahar Qida MMC,,"2.346,00",TEST639292
BNK-000486,09/03/2024,Mədaxil - Şəms MMC,,"2.805,53",TEST275526
BNK-000487,14/01/2024,Ödəniş - Zümrüd Logistika,,"1.087,82",TEST976258
BNK-000488,28/02/2024,Fatura ödənişi - Öznur Xidmətləri,,"3.768,45",TEST124906
BNK-000489,25/02/2024,Xidmət haqqı - Şəms MMC,,"1.668,86",TEST760830
BNK-000490,20/03/2024,Ödəniş - Şəfəq Baytarlıq Kl...,,"341,54",TEST855274
BNK-000491,20/03/2024,Ödəniş -...,,"341,54",TEST855274
BNK-000492,26/02/2024,  Malların dəyəri - Çinar Tikinti MMC ,,"2.009,70",TEST902448
BNK-000493,10/03/2024,Ödəniş - Xəzər Konsalting,,"3.334,22",TEST509985
BNK-000494,12/03/2024,Malların dəyəri - Günəş Ticarət MMC,,"751,20",TEST680412
BNK-000495,14/02/2024,  Fatura ödənişi - Çinar Tikinti MMC ,,"1.120,11",TEST320256
BNK-000496,13/03/2024,MALLARIN  dəyəri  -  Şəms  MMC,,"4.478,25",TEST803571
BNK-000497,15/03/2024,Malların  DƏYƏRI  -  Öznur  Xidmətləri,,"2.564,28",TEST860835
BNK-000498,22/03/2024,Mədaxil - İpək Yolu Ticarət,,"3.645,71",TEST444295
BNK-000499,22/01/2024,Xidmət haqqı - Öz...,,"35,33",TEST549112
BNK-000500,12/02/2024,Fatura ödənişi - Bahar Qida MMC,,"4.612,65",TEST812591
BNK-000501,23/03/2024,Mədaxil - Günəş Ticarət MMC,,"3.190,47",TEST284308
BNK-000502,21/03/2024,Malların dəyəri - Şəfəq Baytarlıq Kliniki,,"410,88",TEST376021
BNK-000503,03/02/2024,Mədaxil - Zümrüd Logistika,,"2.859,34",TEST678388
BNK-000504,16/03/2024,Malların  dəyəri  -  Nərgiz  Dizayn  Studiyası,,"3.854,22",TEST909652
BNK-000505,28/03/2024,Toplu mədaxil,,"870,04",TEST350484
BNK-000506,12/01/2024,Ödəniş - Ulduz Tekstil,,"1.946,90",TEST343007
BNK-000507,01/03/2024,Malların dəyəri - Bahar Qida MMC,,"4.822,44",TEST506945
BNK-000508,03/02/2024,Xidmət haqqı - Zümrüd Logistika,,"3.043,69",TEST975427
BNK-000509,10/01/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"2.718,80",TEST976052
BNK-000510,10/01/2024,Ödəniş - Çinar Tikinti MMC,,"2.718,80",TEST976052
BNK-000511,02/03/2024,Mədaxil - İpək Yolu Ticarət,,"4.661,33",TEST610511
BNK-000512,06/03/2024,Mədaxil - Nərgiz Dizayn Studiyası,,"3.383,67",TEST180832
BNK-000513,16/01/2024,Ödəniş - Çinar Tikinti MMC,,"7.302,23",TEST956639
BNK-000514,06/03/2024,Mədaxil - İpək Yolu Ticarət,,"1.114,69",TEST808029
BNK-000515,17/01/2024,Malların  DƏYƏRI  -  İpək  Yolu  Ticarət,,"3.016,72",TEST145240
BNK-000516,21/02/2024,Fatura ödənişi - İpək Yolu Ticarət,,"3.152,35",TEST641737
BNK-000517,18/03/2024,Xidmət haqqı - Bahar Qida MMC,,"2.481,56",TEST571023
BNK-000518,28/03/2024,Mədaxil - Bahar Qida MMC,,"1.806,58",TEST859364
BNK-000519,03/01/2024,Mədaxil - Zümrüd Logistika,,"1.070,88",TEST213844
BNK-000520,19/03/2024,Ödəniş  -  Şəms  MMC,,"3.154,75",TEST598985
BNK-000521,05/01/2024,Fatura ödənişi - Çinar Tikinti MMC,,"2.747,01",TEST967719
BNK-000522,02/03/2024,Malların  DƏYƏRI  -  Çinar  Tikinti  MMC,,"4.149,54",TEST340633
BNK-000523,10/02/2024,  Ödəniş - Zümrüd Logistika ,,"3.146,77",TEST343807
BNK-000524,01/01/2024,Ödəniş - Zümrüd L...,,"6.610,63",TEST879769
BNK-000525,24/02/2024,Xidmət haqqı - İpək Yolu Ticarət,,"3.426,13",TEST262297
BNK-000526,28/03/2024,  Ödəniş - Ulduz Tekstil ,,"2.093,80",TEST388946
BNK-000527,28/03/2024,Ödəniş - Çinar Tikinti MMC,,"2.093,80",TEST388946
BNK-000528,14/02/2024,Xidmət haqqı - Şəfəq Baytarlıq Kliniki,,"1.815,41",TEST366105
BNK-000529,30/01/2024,Toplu mədaxil,,"962,72",TEST224870
BNK-000530,26/02/2024,Mədaxil - Nərgiz Dizayn Studiyası,,"345,96",TEST729402
BNK-000531,21/02/2024,Ödəniş  -  Şəfəq  Baytarlıq  Kliniki,,"6.538,79",TEST502995
BNK-000532,31/01/2024,Ödəniş - Ulduz Tekstil,,"1.509,49",TEST111230
BNK-000533,22/01/2024,Toplu mədaxil,,"897,89",TEST342924
BNK-000534,09/01/2024,Ödəniş - Zümrüd Logistika,,"482,72",TEST837801
BNK-000535,05/02/2024,Xidmət haqqı - İpək Yolu Ticarət,,"1.196,44",TEST464354
BNK-000536,22/02/2024,Ödəniş - Günəş Ticarət MMC,,"2.664,14",TEST283537
BNK-000537,14/03/2024,Malların dəyəri - Şəfəq Baytarlıq Kliniki,,"1.321,46",TEST664032
BNK-000538,13/02/2024,Ödəniş - Bahar Qida MMC,,"4.076,37",TEST894268
BNK-000539,18/02/2024,Xidmət haqqı - Ulduz Tekstil,,"3.332,21",TEST170835
BNK-000540,05/01/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"1.311,58",TEST661671
BNK-000541,11/03/2024,Malların dəyəri - Xəzər Konsa...,,"4.893,19",TEST179721
BNK-000542,26/01/2024,Toplu mədaxil,,"824,51",TEST299405
BNK-000543,19/03/2024,Toplu mədaxil,,"416,89",TEST795650
BNK-000544,22/02/2024,Mədaxil - İpək Yolu Ticarət,,"3.943,04",TEST393880
BNK-000545,22/02/2024,Malların dəyəri - Günəş Ticarət MMC,,"2.407,02",TEST464158
BNK-000546,27/01/2024,  Fatura ödənişi - İpək Yolu Ticarət ,,"1.999,29",TEST806848
BNK-000547,04/02/2024,Xidmət haqqı - İpək Yolu Ticarət,,"2.481,20",TEST348658
BNK-000548,17/02/2024,Malların  dəyəri  -  Çinar  tikinti  MMC,,"1.924,06",TEST834750
BNK-000549,04/02/2024,  Xidmət haqqı - Ulduz Tekstil ,,"4.225,73",TEST855829
BNK-000550,01/03/2024,Ödəniş  -  xəzər  Konsalting,,"61,07",TEST256812
BNK-000551,12/03/2024,Mədaxil  -  İPƏK  Yolu  Ticarət,,"4.511,02",TEST363165
BNK-000552,27/02/2024,Ödəniş - Öznur Xidmətləri,,"3.913,81",TEST200979
BNK-000553,27/02/2024,Ödəniş...,,"3.913,81",TEST200979
BNK-000554,14/02/2024,Malların dəyəri - Qızıl Balıq Restoranı,,"4.557,50",TEST227126
BNK-000555,09/02/2024,Malların dəyəri - Qızıl Balıq Restoranı,,"1.714,40",TEST283017
BNK-000556,19/03/2024,Fatura ödənişi - Bahar Qida MMC,,"1.512,20",TEST499581
BNK-000557,21/02/2024,Ödəniş - Günəş...,,"4.460,68",TEST699405
BNK-000558,21/02/2024,Ödəniş - Günəş Ticarət MMC,,"4.460,68",TEST699405
BNK-000559,16/03/2024,Ödəniş  -  Bahar  Qida  MMC,,"2.741,20",TEST884225
BNK-000560,11/01/2024,Ödəniş - Çinar Tikinti MMC,,"885,09",TEST834733
BNK-000561,20/02/2024,Ödəniş - Günəş Ticarət MMC,,"2.757,17",TEST127645
BNK-000562,30/01/2024,Mədaxil  -  Şəfəq  Baytarlıq  Kliniki,,"1.307,07",TEST424398
BNK-000563,01/03/2024,Toplu mədaxil,,"868,96",TEST474175
BNK-000564,09/03/2024,Ödəniş - Öznur Xidmətləri,,"1.633,51",TEST770593
BNK-000565,09/03/2024,Ödəniş - Bahar Qida MMC,,"1.633,51",TEST770593
BNK-000566,08/02/2024,Mədaxil - Şəm...,,"65,34",TEST263281
BNK-000567,02/04/2024,Fatura ödənişi - Bahar Qida MMC,,"4.974,78",TEST108721
BNK-000568,17/02/2024,  Mədaxil - Çinar Tikinti MMC ,,"998,65",TEST674842
BNK-000569,19/02/2024,Ödəniş - Ulduz Tekstil,,"1.993,68",TEST777370
BNK-000570,22/03/2024,Malların dəyəri - Qızıl Balıq Restoranı,,"1.502,52",TEST901676
BNK-000571,18/01/2024,Fatura ödənişi - Günəş Ticarət MMC,,"1.528,31",TEST291267
BNK-000572,12/02/2024,Malların  dəyəri  -  şəms  MMC,,"807,70",TEST296911
BNK-000573,20/01/2024,Xidmət haqqı - Bahar Qida MMC,,"87,20",TEST194578
BNK-000574,08/01/2024,Ödəniş  -  Xəzər  KONSALTING,,"430,60",TEST830789
BNK-000575,18/02/2024,Mədaxil - Şəms MMC,,"4.352,42",TEST956949
BNK-000576,07/01/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"2.426,10",TEST359168
BNK-000577,31/03/2024,MƏDAXIL  -  Öznur  Xidmətləri,,"4.918,46",TEST508024
BNK-000578,26/01/2024,  Ödəniş - Şəms MMC ,,"1.899,67",TEST413328
BNK-000579,26/01/2024,Ödəniş -...,,"1.899,67",TEST413328
