id,date,description,amount,account_ref
LGR-000306,2024-03-09,Mədaxil - Ulduz Tekstil,4326.77,TEST544730
LGR-000307,2024-01-15,Xidmət haqqı - Qızıl Balıq Restoranı,178.91,TEST860242
LGR-000308,2024-03-17,Malların dəyəri - Bahar Qida MMC,186.03,TEST205797
LGR-000309,2024-02-26,Mədaxil - Zümrüd Logistika,1238.61,TEST521805
LGR-000310,2024-02-10,Ödəniş - Qızıl Balıq Restoranı,3037.63,TEST704095
LGR-000311,2024-03-07,Fatura ödənişi - Çinar...,1168.90,TEST792282
LGR-000312,2024-03-27,Xidmət  haqqı  -  Zümrüd  Logistika,2249.76,TEST756401
LGR-000313,2024-02-23,Fatura ödənişi - Xəzər Konsalting,2150.45,TEST830132
LGR-000314,2024-01-19,Ödəniş - Bahar Qida MMC,4234.58,TEST415344
LGR-000315,2024-02-01,Fatura ödənişi - Ulduz Tekstil,1346.91,TEST507286
LGR-000316,2024-01-25,Xidmət haqqı - Nərgiz Dizayn Studiyası,280.20,TEST661654
LGR-000317,2024-03-26,  Ödəniş - Bahar Qida MMC ,1147.79,TEST716126
LGR-000318,2024-01-28,Ödəniş - Ulduz Tekstil,4923.41,TEST116078
LGR-000319,2024-01-26,Mədaxil - Çinar Tikinti MMC,269.93,TEST733760
LGR-000320,2024-01-25,Mədaxil - Öznur X...,166.84,TEST733760
LGR-000321,2024-01-25,Mədaxil - Bahar Qida MMC,371.81,TEST733760
LGR-000322,2024-01-25,Mədaxil - Bahar Qida MMC,220.77,TEST733760
LGR-000323,2024-02-17,Ödəniş - Çinar Tikinti MMC,1650.61,TEST312994
LGR-000324,2024-03-11,Malların dəyəri - İpək Yolu Ticarət,4910.82,TEST373441
LGR-000325,2024-02-18,Xidmət haqqı - Ulduz Tekstil,2997.33,TEST341192
LGR-000326,2024-03-03,Ödəniş - Şəfəq Baytarlıq Kliniki,4932.14,TEST772865
LGR-000327,2024-03-03,Ödəniş - Qızıl Balıq Restoranı,2029.88,TEST673095
LGR-000328,2024-03-26,Xidmət  HAQQI  -  Şəms  MMC,264.35,TEST957730
LGR-000329,2024-03-26,Ödəniş - İpək Yolu Ticarət,4906.34,TEST768706
LGR-000330,2024-03-26,Ödəniş  -  Bahar  Qida  mmc,4906.34,TEST768706
LGR-000331,2024-03-05,Xidmət haqqı - Şəfəq Baytarlıq Kliniki,4273.28,TEST117975
LGR-000332,2024-03-20,Fatura ödənişi - Nərgiz Dizayn...,2770.14,TEST301255
LGR-000333,2024-03-13,Mədaxil - Şəfəq Baytarlıq Klinik...,1285.10,TEST581294
LGR-000334,2024-01-05,Ödəniş - Çinar Tikinti MMC,500.21,TEST896483
LGR-000335,2024-01-05,Ödəniş - Çinar Tikinti MMC,500.21,TEST896483
LGR-000336,2024-02-25,Malların dəyəri - Öznur Xidmətləri,3391.17,TEST624139
LGR-000337,2024-01-28,Malların dəyəri - Şəfəq Baytarlıq Kliniki,4735.26,TEST340927
LGR-000338,2024-03-13,Mədaxil - Ulduz Tekstil,441.29,TEST393992
LGR-000339,2024-03-11,Mədaxil - Çinar Tikinti MMC,31.56,TEST393992
LGR-000340,2024-03-12,Mədaxil - Xəzər Konsalting,127.54,TEST393992
LGR-000341,2024-03-11,Mədaxil - Çinar Tikinti MMC,216.10,TEST393992
LGR-000342,2024-02-19,Ödəniş - Şəfəq Baytarlıq Kliniki,4154.48,TEST447843
LGR-000343,2024-02-25,Fatura ödənişi - Günəş Ticarət MMC,1227.10,TEST202430
LGR-000344,2024-02-11,Fatura ödənişi - Qızıl Balıq Restoranı,165.32,TEST911131
LGR-000345,2024-02-18,Malların dəyəri - Xəzər Konsalting,2274.12,TEST679902
LGR-000346,2024-02-01,Ödəniş - Günəş Tic...,3748.74,TEST936821
LGR-000347,2024-01-14,Fatura ödənişi - Şəms MMC,489.83,TEST478221
LGR-000348,2024-03-12,Ödəniş  -  Günəş  Ticarət  MMC,2149.32,TEST684041
LGR-000349,2024-01-02,Xidmət haqqı - Çinar Tikinti MMC,1540.12,TEST503951
LGR-000350,2024-03-07,  Xidmət haqqı - Qızıl Balıq Restoranı ,899.10,TEST699743
LGR-000351,2024-01-22,Xidmət haq...,2288.95,TEST166340
LGR-000352,2024-03-04,Ödəniş  -  BAHAR  Qida  MMC,6326.51,TEST755395
LGR-000353,2024-02-12,Ödəniş - Öznur Xidmətləri,2318.03,TEST498343
LGR-000354,2024-02-12,Ödəniş - Çinar Tikinti MMC,2318.03,TEST498343
LGR-000355,2024-02-09,Mədaxil - Şəfəq Baytarlıq Kliniki,126.41,TEST310608
LGR-000356,2024-02-09,Mədaxil - İpək Yolu Ticarət,270.99,TEST310608
LGR-000357,2024-02-09,Mədaxil - Çinar Ti...,219.15,TEST310608
LGR-000358,2024-03-13,  Malların dəyəri - İpək Yolu Ticarət ,1057.52,TEST219420
LGR-000359,2024-02-26,Ödəniş  -  Şəfəq  baytarlıq  Kliniki,8464.33,TEST319832
LGR-000360,2024-02-23,Mədaxil - İpək Yolu Ticarət,257.06,TEST261630
LGR-000361,2024-02-22,Mədaxil - Şəfəq Baytarlıq Kliniki,58.47,TEST261630
LGR-000362,2024-02-24,Mədaxil - Öznur Xidmətləri,304.30,TEST261630
LGR-000363,2024-02-22,Mədaxil - İpək Yolu Ticarət,401.86,TEST261630
LGR-000364,2024-02-01,  Fatura ödənişi - Qızıl Balıq Restoranı ,3457.72,TEST214682
LGR-000365,2024-02-12,Ödəniş  -  ÇINAR  Tikinti  MMC,4184.54,TEST889245
LGR-000366,2024-02-26,Mədaxil - Qızıl Balıq Restoranı,255.18,TEST703178
LGR-000367,2024-02-25,Mədaxi...,266.33,TEST703178
LGR-000368,2024-02-07,Ödəniş - Günəş Ticarət MMC,4836.32,TEST209627
LGR-000369,2024-02-13,Malların dəyəri - Ulduz Tekstil,2397.25,TEST427040
LGR-000370,2024-01-15,Ödəniş - Öznur Xidmətləri,128.41,TEST146853
LGR-000371,2024-03-07,Ödəniş - Xəzər Kons...,924.63,TEST355761
LGR-000372,2024-02-21,Mədaxil - Xəzər Konsalting,3311.75,TEST936507
LGR-000373,2024-01-26,Ödəniş - Çinar Tikinti MMC,2367.06,TEST743937
LGR-000374,2024-01-09,  Malların dəyəri - Günəş Ticarət MMC ,3036.96,TEST391865
LGR-000375,2024-03-26,Malların dəyəri - Bahar Qida MMC,4532.69,TEST375097
LGR-000376,2024-03-16,Ödəniş - Öznur Xidmətləri,608.90,TEST511612
LGR-000377,2024-03-16,Ödəniş - Öznur Xidmətləri,608.90,TEST511612
LGR-000378,2024-03-16,Mədaxil - Qız...,454.34,TEST744333
LGR-000379,2024-02-23,Xidmət haqqı - İpək Yolu Ticarət,732.82,TEST507333
LGR-000380,2024-03-23,Xidmət haqq...,2919.34,TEST827117
LGR-000381,2024-02-15,  Ödəniş - Bahar Qida MMC ,60.24,TEST156215
LGR-000382,2024-02-15,Ödəniş - Xəzər Konsalting,60.24,TEST156215
LGR-000383,2024-03-03,Xidmət haqqı - Şəfəq Baytarlıq Kliniki,2189.10,TEST817956
LGR-000384,2024-02-07,Ödəniş - Ulduz Tekstil,1451.02,TEST331241
LGR-000385,2024-03-04,Malların  dəyəri  -  Günəş  ticarət  MMC,2688.09,TEST693127
LGR-000386,2024-02-26,Ödəniş  -  Çinar  Tikinti  MMC,1155.78,TEST143631
LGR-000387,2024-02-14,  Mədaxil - Günəş Ticarət MMC ,2311.99,TEST375581
LGR-000388,2024-03-19,Mədaxil - Ulduz Tekstil,424.69,TEST467663
LGR-000389,2024-03-19,Mədaxil - İpək Yolu Ticarət,290.60,TEST467663
LGR-000390,2024-03-18,Mədaxil - İpək Yolu Ticarət,118.77,TEST467663
LGR-000391,2024-03-18,Mədaxil - Şəfəq Baytarlı...,413.80,TEST467663
LGR-000392,2024-03-06,Ödəniş  -  Qızıl  balıq  Restoranı,4729.40,TEST999695
LGR-000393,2024-01-17,Fatura ödənişi - Xəzər Konsalting,1319.02,TEST835499
LGR-000394,2024-02-04,Mədaxil - Çinar Tikinti MMC,3301.54,TEST763121
LGR-000395,2024-01-12,Fatura ödənişi - Zümrüd Logistika,2122.09,TEST764406
LGR-000396,2024-03-15,Ödəniş - Şəfəq Baytarlıq Kliniki,4565.57,TEST443187
LGR-000397,2024-01-08,Mədaxil - Ulduz Tekstil,360.24,TEST831160
LGR-000398,2024-01-08,Mədaxil - Nərgiz Dizayn...,270.64,TEST831160
LGR-000399,2024-01-09,Mədaxil - İpək Yolu Ticarət,152.75,TEST831160
LGR-000400,2024-01-07,Xidmət  HAQQI  -  Günəş  Ticarət  MMC,250.87,TEST815707
LGR-000401,2024-03-29,  Fatura ödənişi - Xəzər Konsalting ,4777.91,TEST312146
LGR-000402,2024-03-24,Xidmət haqqı - Şəms MMC,877.82,TEST796787
LGR-000403,2024-01-13,Xidmət  haqqı  -  Ulduz  TEKSTIL,15.69,TEST837880
LGR-000404,2024-01-17,Mədaxil - Günəş Ticarət MMC,2514.52,TEST827744
LGR-000405,2024-01-18,Mədaxil  -  Qızıl  Balıq  RESTORANI,3373.70,TEST501312
LGR-000406,2024-03-21,Ödəniş - Çinar Tikinti MMC,7946.16,TEST323404
LGR-000407,2024-01-13,Malların dəyəri - Günəş Ticarət MMC,744.07,TEST190898
LGR-000408,2024-01-18,  Ödəniş - Nərgiz Dizayn Studiyası ,1309.11,TEST929504
LGR-000409,2024-03-29,Çek ödənişi - Qızıl Balıq Restoranı,-150.63,TEST398761
LGR-000410,2024-03-18,Xidmət...,2681.36,TEST642899
LGR-000411,2024-03-04,Ödəniş - İpək Yolu Ticarət,3355.38,TEST352792
LGR-000412,2024-02-19,Xidmət haqqı - İpək Yolu Ticarət,4523.14,TEST238394
LGR-000413,2024-01-03,Ödəniş...,364.06,TEST176537
LGR-000414,2024-02-06,Malların dəyəri - Şəfəq Baytarlıq Kliniki,3305.52,TEST631219
LGR-000415,2024-03-09,Mədaxil - İpək...,2828.86,TEST771652
LGR-000416,2024-01-20,Xidmət haqqı - Öznur Xidmətləri,2822.22,TEST947312
LGR-000417,2024-01-31,Ödəniş - Günəş Ticarət MMC,313.59,TEST987586
LGR-000418,2024-03-25,Ödəniş  -  Xəzər  Konsalting,3893.18,TEST798435
LGR-000419,2024-03-07,  Fatura ödənişi - Şəfəq Baytarlıq Kliniki ,4115.10,TEST648410
LGR-000420,2024-01-16,Fatura ödənişi - Şəms MMC,4054.51,TEST868538
LGR-000421,2024-03-14,Xidmət haqqı - Günəş Ticarət MMC,3300.07,TEST846925
LGR-000422,2024-01-14,  Ödəniş - İpək Yolu Ticarət ,4698.54,TEST367508
LGR-000423,2024-02-19,Malların dəyəri - Şəms MMC,948.27,TEST481657
LGR-000424,2024-01-29,Ödəniş - Ulduz Tekstil,1697.16,TEST539740
LGR-000425,2024-01-29,Ödəniş -...,1697.16,TEST539740
LGR-000426,2024-02-21,Fatura ödənişi - Bahar Qida MMC,4607.95,TEST148159
LGR-000427,2024-01-02,Mədaxil - Ulduz...,1944.19,TEST578933
LGR-000428,2024-02-01,Ödəniş - İpək Yolu Ticarət,2442.31,TEST752966
LGR-000429,2024-03-10,Ödəniş - Şəms MMC,799.40,TEST304915
LGR-000430,2023-12-30,Mədaxil  -  Nərgiz  Dizayn  studiyası,440.77,TEST110060
LGR-000431,2023-12-31,Mədaxil - Bahar Qida MMC,256.59,TEST110060
LGR-000432,2024-01-01,Mədaxil...,493.70,TEST110060
LGR-000433,2024-03-07,Fatura ödənişi - Şəfəq Baytarlıq Kliniki,2175.60,TEST986575
LGR-000434,2024-03-22,Malların  dəyəri  -  İpək  Yolu  ticarət,402.32,TEST239999
LGR-000435,2024-02-10,Fatura ödənişi...,4865.12,TEST992247
LGR-000436,2024-01-14,Ödəniş - Xəzər Konsalting,563.95,TEST713110
LGR-000437,2024-01-27,Fatura ödənişi - Bahar Qida MMC,1626.42,TEST475691
LGR-000438,2024-03-18,Ödəniş  -  Öznur  Xidmətləri,522.88,TEST830729
LGR-000439,2024-02-08,Ödəniş - Xəzər Konsalting,1374.02,TEST810078
LGR-000440,2024-01-13,Mədaxil - Günəş Ticarət MMC,2432.43,TEST361989
LGR-000441,2024-01-02,  Mədaxil - Ulduz Tekstil ,333.32,TEST227352
LGR-000442,2024-01-11,Ödəniş - İpək Yolu Ticarət,3063.05,TEST776001
LGR-000443,2024-01-11,ÖDƏNIŞ  -  Nərgiz  Dizayn  Studiyası,3063.05,TEST776001
LGR-000444,2024-02-12,Xidmət  haqqı  -  Şəms  MMC,652.39,TEST988432
LGR-000445,2024-02-24,Mədaxil - Öznur Xidmətləri,916.00,TEST816400
LGR-000446,2024-03-20,Fatura ödənişi - Ulduz Tekstil,3244.73,TEST743937
LGR-000447,2024-02-19,Mədaxil - Çinar Tikinti MMC,729.51,TEST393366
LGR-000448,2024-01-03,Fatura ödənişi - Şəfəq Baytarlıq Kliniki,4109.49,TEST933456
LGR-000449,2024-03-05,  Fatura ödənişi - Çinar Tikinti MMC ,1696.13,TEST693128
LGR-000450,2024-02-05,Malların dəyəri - Bahar Qida MMC,317.18,TEST950069
LGR-000451,2024-02-01,Fatura ödənişi - Ulduz Tekstil,3453.86,TEST204998
LGR-000452,2024-02-19,  Mədaxil - Xəzər Konsalting ,1870.19,TEST703656
LGR-000453,2024-01-02,Mədaxil - Xəzər Konsalting,471.01,TEST476211
LGR-000454,2024-01-04,Mədaxil - Bahar Qida MMC,469.11,TEST476211
LGR-000455,2024-01-04,MƏDAXIL  -  Bahar  Qida  MMC,240.47,TEST476211
LGR-000456,2024-01-04,Mədaxil - Şəms MMC,382.01,TEST476211
LGR-000457,2024-03-19,Fatura ödənişi - Xəzər Konsalting,1066.25,TEST447848
LGR-000458,2024-01-15,Fatura ödənişi - Zümrüd Logistika,4447.99,TEST911982
LGR-000459,2024-01-13,Mədaxil - Şəfəq Baytarlıq Kliniki,230.56,TEST514812
LGR-000460,2024-01-11,Mədaxil - Bahar Qida MMC,207.76,TEST514812
LGR-000461,2024-01-13,Mədaxil - Şəfəq Baytarlıq Kliniki,221.42,TEST514812
LGR-000462,2024-01-11,Mədaxil - İpək Yolu Ticarət,99.42,TEST514812
LGR-000463,2024-03-16,Xidmət haqqı - Xəzər Konsalt...,4280.08,TEST797860
LGR-000464,2024-03-13,Mədaxil - Xəzər Konsalting,179.77,TEST510623
LGR-000465,2024-03-22,ÖDƏNIŞ  -  Günəş  Ticarət  MMC,2975.11,TEST331625
LGR-000466,2024-03-22,Ödəniş - Bahar Qida MMC,2975.11,TEST331625
LGR-000467,2024-03-26,Fatura ödənişi - Şəfəq Baytarlıq Kliniki,3360.73,TEST961574
LGR-000468,2024-02-02,Mədaxil - Çinar Tikinti MMC,80.80,TEST171087
LGR-000469,2024-02-01,Mədaxil - Xəzər Konsalting,482.13,TEST171087
LGR-000470,2024-02-01,Mədaxil - Çinar Tikinti MMC,10.83,TEST171087
LGR-000471,2024-03-02,  Mədaxil - İpək Yolu Ticarət ,4145.21,TEST206355
LGR-000472,2024-01-03,Ödəniş  -  Nərgiz  Dizayn  Studiyası,1680.99,TEST409234
LGR-000473,2024-02-13,Mədaxil - İpək Yolu Ticarət,3124.43,TEST197627
LGR-000474,2024-02-25,Ödəniş - İpək Yolu Ticarət,6953.86,TEST132498
LGR-000475,2024-01-27,Malların dəyəri - Çinar Tikinti MMC,1006.06,TEST447177
LGR-000476,2024-01-13,Malların dəyəri - Çinar Tikinti MMC,270.23,TEST349087
LGR-000477,2024-02-24,Malların dəyəri - Nərgiz Dizayn Studiyası,469.42,TEST104000
LGR-000478,2024-01-15,Xidmət haqqı - Çinar Tikinti MMC,1626.65,TEST596574
LGR-000479,2024-02-17,Ödəniş - Bahar Qida...,988.23,TEST499974
LGR-000480,2024-01-08,Ödəniş  -  şəfəq  Baytarlıq  Kliniki,802.35,TEST691655
LGR-000481,2024-03-11,Çek ödənişi - Çinar Tikinti MMC,-329.73,TEST338564
LGR-000482,2024-03-28,Malların dəyəri - Bahar Qida MMC,4555.02,TEST661527
LGR-000483,2024-03-05,Ödəniş - Günəş Ticarət MMC,6089.67,TEST136415
LGR-000484,2024-01-25,Xidmət  haqqı  -  ŞƏMS  MMC,671.57,TEST322182
LGR-000485,2024-01-09,Malların dəyəri - Çinar Tikinti MMC,466.27,TEST435281
LGR-000486,2024-01-02,Xidmət  HAQQI  -  Zümrüd  Logistika,3090.59,TEST580412
LGR-000487,2024-01-14,Ödəniş - Günəş Ticarət MMC,4097.05,TEST205071
LGR-000488,2024-02-03,Xidmət haqqı - Qızıl Balıq Restoranı,2018.25,TEST530849
LGR-000489,2024-03-28,Ödəniş - Çinar Tikinti MMC,3646.78,TEST738221
LGR-000490,2024-03-28,Ödəniş - Şəms MMC,3646.78,TEST738221
LGR-000491,2024-02-13,Fatura ödənişi - Nərgiz Dizayn Studiy...,4295.45,TEST121215
LGR-000492,2024-02-08,Fatura ödənişi - Ba...,3909.25,TEST240913
LGR-000493,2024-01-28,Xidmət haqqı - Çinar Tikinti MMC,4799.01,TEST563173
LGR-000494,2024-01-21,Malların dəyəri - Şəfəq Baytarlıq Kliniki,1641.18,TEST929937
LGR-000495,2024-01-04,  Ödəniş - Ulduz Tekstil ,1020.63,TEST696296
LGR-000496,2024-01-26,Xidmət haqqı - Öznur Xidmətləri,1446.43,TEST838862
LGR-000497,2024-03-03,Mədaxil - Bahar Qida MMC,3124.49,TEST490559
LGR-000498,2024-01-21,Ödəniş - Nərgiz Di...,4401.71,TEST460971
LGR-000499,2024-01-28,Mədaxil - Ulduz Tekstil,4503.73,TEST917711
LGR-000500,2024-03-22,Mədaxil - Şəms MMC,278.37,TEST316773
LGR-000501,2024-03-24,  Mədaxil - Qızıl Balıq Restoranı ,346.38,TEST316773
LGR-000502,2024-03-24,Mədaxil - Ulduz...,23.14,TEST316773
LGR-000503,2024-03-23,Ödəniş - Çinar Tikinti MMC,2987.55,TEST843826
LGR-000504,2024-02-08,Malların dəyəri - Zümrüd Logistika,3560.45,TEST589368
LGR-000505,2024-02-06,ÇEK  ödənişi  -  Qızıl  Balıq  Restoranı,-1574.87,TEST738635
LGR-000506,2024-02-11,Fatura ödənişi - Nərgiz Dizayn Studiyası,4526.69,TEST771712
LGR-000507,2024-01-31,Xidmət haqqı - İpək Yolu Ticarət,4232.77,TEST902658
LGR-000508,2024-03-24,Ödəniş - Nərgiz Dizayn Studiyası,5315.33,TEST126691
LGR-000509,2024-03-15,Ödəniş - Uldu...,3722.32,TEST137034
LGR-000510,2024-03-01,Ödəniş - Qızıl Balıq Restoranı,4762.80,TEST923024
LGR-000511,2024-03-01,Ödəniş - Öznur Xidmətləri,4762.80,TEST923024
LGR-000512,2024-01-13,Fatura ödənişi - Xəzər Konsalting,2478.24,TEST408054
LGR-000513,2024-02-12,Mədaxil - Günəş Ticarət MMC,3441.12,TEST812730
LGR-000514,2024-02-03,Xidmət haqqı - Nərgiz Dizayn Studiyası,3080.07,TEST489737
LGR-000515,2024-03-01,Ödəniş  -  Ulduz  tekstil,4673.15,TEST174675
LGR-000516,2024-03-01,Ödəniş - Zümrüd Logistika,4673.15,TEST174675
LGR-000517,2024-02-22,Mədaxil - B...,2995.31,TEST459315
LGR-000518,2024-02-10,Ödəniş - Şəms MMC,3336.60,TEST285413
LGR-000519,2024-02-10,  Ödəniş - Şəms MMC ,3336.60,TEST285413
LGR-000520,2024-01-12,Xidmət haqqı - İpək Yolu Ticarət,688.45,TEST613358
LGR-000521,2024-01-01,Fatura ödənişi - Ulduz Tekstil,2808.55,TEST501936
LGR-000522,2024-03-08,Ödəniş  -  Qızıl  Balıq  Restoranı,103.93,TEST973703
LGR-000523,2024-01-14,Malların...,2020.90,TEST235193
LGR-000524,2024-03-07,Xidmət haqqı - Öznur Xidmətləri,2757.88,TEST863187
LGR-000525,2024-02-15,Mədaxil - Ulduz Tekstil,3942.76,TEST613989
LGR-000526,2024-01-03,MƏDAXIL  -  Zümrüd  Logistika,3101.68,TEST321449
LGR-000527,2024-03-17,Ödəniş - Qızıl Balıq Restoranı,261.45,TEST150947
LGR-000528,2024-03-17,ÖDƏNIŞ  -  Günəş  Ticarət  MMC,261.45,TEST150947
LGR-000529,2024-01-20,Ödəniş - Qızıl Balıq Restor...,3654.80,TEST835962
LGR-000530,2024-01-18,Çek ödənişi - Günəş Ticarət MMC,-2205.85,TEST834764
LGR-000531,2024-02-06,  Ödəniş - Günəş Ticarət MMC ,607.75,TEST223453
LGR-000532,2024-02-06,  Ödəniş - Bahar Qida MMC ,607.75,TEST223453
LGR-000533,2024-02-22,Ödəniş - Xəzər Konsalting,1558.49,TEST837606
LGR-000534,2024-01-31,Ödəniş - Qızıl Balıq Restoranı,76.84,TEST446663
LGR-000535,2024-01-10,Mədaxil  -  şəfəq  Baytarlıq  Kliniki,345.35,TEST618105
LGR-000536,2024-01-11,Mədaxil...,59.18,TEST618105
LGR-000537,2024-01-23,Fatura ödənişi - Şəms MMC,4593.01,TEST952679
LGR-000538,2024-01-06,Mədaxil - Xəzər Kons...,60.71,TEST199613
LGR-000539,2024-02-13,Xidmət haqqı - Günəş Ticarət MMC,968.76,TEST490722
LGR-000540,2024-02-23,Mədaxil - Şəfəq Baytarlıq Kliniki,435.22,TEST991993
LGR-000541,2024-02-23,Mədaxil - Günəş Ticarət MMC,119.30,TEST991993
LGR-000542,2024-02-21,Mədaxil - Bahar Qida MMC,84.09,TEST991993
LGR-000543,2024-03-17,Mədaxil - Şəms MMC,258.87,TEST559447
LGR-000544,2024-03-17,Mədaxil - Xəzər Konsalting,245.01,TEST559447
LGR-000545,2024-02-22,Fatura ödənişi - Günəş Ticarət MMC,251.02,TEST218423
LGR-000546,2024-03-13,Ödəniş - Öznur Xidmətləri,1184.32,TEST704660
LGR-000547,2024-02-25,Ödəniş - Şəfəq Baytarlıq Kliniki,3479.28,TEST199868
LGR-000548,2024-02-25,Ödəniş - Ulduz Tekstil,3479.28,TEST199868
LGR-000549,2024-03-01,Mədaxil  -  Bahar  QIDA  MMC,4476.25,TEST630126
LGR-000550,2024-01-29,Xidmət haqqı - Qızıl Balıq Restoranı,2896.18,TEST631553
LGR-000551,2024-03-04,Xidmət haqqı - Günəş Ticarət MMC,1667.07,TEST192295
LGR-000552,2024-01-01,Mədaxil - Günəş Ticarət MMC,4340.14,TEST675771
LGR-000553,2024-02-08,  Ödəniş - Zümrüd Logistika ,4676.74,TEST768507
LGR-000554,2024-02-08,Ödəniş - Zümrüd Logistika,4676.74,TEST768507
LGR-000555,2024-01-29,Fatura ödənişi - Bahar Qida MMC,4436.65,TEST956255
LGR-000556,2024-02-16,Ödəniş  -  Günəş  Ticarət  MMC,7606.89,TEST789089
LGR-000557,2024-02-07,Ödəniş - Zümrüd Logistika,2881.47,TEST938769
LGR-000558,2024-02-07,Ödəniş  -  Öznur  Xidmətləri,2881.47,TEST938769
LGR-000559,2024-02-02,Mədaxil  -  Ulduz  TEKSTIL,3212.62,TEST212157
LGR-000560,2024-02-23,Malların  dəyəri  -  QIZIL  Balıq  Restoranı,253.79,TEST893928
LGR-000561,2024-01-01,Ödəniş - Şəfəq Baytarlıq Kliniki,2790.63,TEST623059
LGR-000562,2024-01-23,Mədaxil  -  Şəfəq  Baytarlıq  kliniki,920.42,TEST633025
LGR-000563,2024-03-29,Fatura ödənişi - Ulduz Tekstil,4007.03,TEST738576
LGR-000564,2024-01-18,Malların dəyəri - İpək Yolu...,2173.97,TEST943890
LGR-000565,2024-03-11,  Mədaxil - Ulduz Tekstil ,3326.55,TEST846454
LGR-000566,2024-03-22,Mədaxil - Öznur Xidmətləri,126.53,TEST239116
LGR-000567,2024-03-23,Mədaxil - Zümrüd Logistika,340.23,TEST239116
LGR-000568,2024-03-22,Mədaxil - Qızıl Balıq Restoranı,365.52,TEST239116
LGR-000569,2024-03-22,Mədaxil - Şəfəq Baytarlıq Kliniki,465.02,TEST239116
LGR-000570,2024-02-24,Ödəniş - Günəş Ticarət MMC,2750.61,TEST399817
LGR-000571,2024-01-21,ödəniş  -  Nərgiz  Dizayn  Studiyası,3592.93,TEST923690
LGR-000572,2024-02-15,Malların dəyəri - İpək Yolu Ticarət,547.29,TEST133875
LGR-000573,2024-01-31,Mədaxil - Şəfəq Baytarlıq K...,2688.70,TEST507777
LGR-000574,2024-02-19,Fatura ödənişi - Qızıl Balıq Restoranı,2194.00,TEST500118
LGR-000575,2024-01-29,Ödəniş - İpək Yolu Ticarət,3968.93,TEST564586
LGR-000576,2024-01-25,Ödəniş - Xəzər Konsalting,2363.08,TEST860127
LGR-000577,2024-01-06,Malların dəyəri...,2256.61,TEST495521
LGR-000578,2024-02-29,  Ödəniş - Xəzər Konsalting ,3730.81,TEST446620
LGR-000579,2024-03-19,Ödəniş - İpək Yolu Ticarət,2581.89,TEST755744
LGR-000580,2024-01-09,Mədaxil - Zümrüd Logistika,4132.25,TEST645895
LGR-000581,2024-01-28,Fatura ödənişi - Öznur Xidmətləri,3487.78,TEST331942
LGR-000582,2024-03-01,Ödəniş  -  QIZIL  Balıq  Restoranı,2953.01,TEST656268
LGR-000583,2024-03-01,Ödəniş - Şəms MMC,2953.01,TEST656268
LGR-000584,2024-02-11,Xidmət haqqı - Günəş Ticarət...,2009.49,TEST815706
LGR-000585,2024-03-06,Ödəniş - Bah...,2346.00,TEST639292
LGR-000586,2024-03-09,  Ödəniş - Şəms MMC ,2805.53,TEST275526
LGR-000587,2024-01-14,Xidmət haqqı - Zümrüd Logistika,1087.82,TEST976258
LGR-000588,2024-02-28,ÖDƏNIŞ  -  Öznur  Xidmətləri,3768.45,TEST124906
LGR-000589,2024-01-30,Mədaxil - Nərgiz Dizayn Studiyası,4786.19,TEST961530
LGR-000590,2024-02-21,Xidmət haqqı - Şəms MMC,1668.86,TEST760830
LGR-000591,2024-03-20,ÖDƏNIŞ  -  Şəfəq  Baytarlıq  Kliniki,341.54,TEST855274
LGR-000592,2024-03-20,Ödəniş - İpək Yolu Ticarət,341.54,TEST855274
LGR-000593,2024-02-26,Ödəniş - Çinar Tikinti MMC,2009.70,TEST902448
LGR-000594,2024-03-10,Ödəniş - Xəzər Ko...,1556.53,TEST509985
LGR-000595,2024-03-12,Ödəniş  -  Günəş  Ticarət  MMC,751.20,TEST680412
LGR-000596,2024-02-14,Malların  DƏYƏRI  -  Çinar  Tikinti  MMC,1120.11,TEST320256
LGR-000597,2024-03-13,Malların dəyəri - Şəms MMC,4478.25,TEST803571
LGR-000598,2024-03-15,Fatura  ÖDƏNIŞI  -  Öznur  Xidmətləri,2564.28,TEST860835
LGR-000599,2024-03-19,Mədaxil - İpək Yolu Ticarət,3645.71,TEST444295
LGR-000600,2024-01-22,Mədaxil - Öznur Xidmətləri,35.33,TEST549112
LGR-000601,2024-02-12,Xidmət haqqı - Bahar Qida MMC,4612.65,TEST812591
LGR-000602,2024-03-23,Fatura ödənişi - Günəş Ticarət MMC,3190.47,TEST284308
LGR-000603,2024-03-21,Ödəniş - Şəfəq Baytarlıq Kliniki,410.88,TEST376021
LGR-000604,2024-02-21,  Çek ödənişi - İpək Yolu Ticarət ,-4042.82,TEST707021
LGR-000605,2024-02-03,Xidmət haqqı - Zümrüd Logistika,2859.34,TEST678388
LGR-000606,2024-03-16,Mədaxil - Nərgiz Dizayn Studiyası,3854.22,TEST909652
LGR-000607,2024-03-28,Mədaxil - Xəzər Konsalting,118.68,TEST350484
LGR-000608,2024-03-26,Mədaxil - Qızıl Balıq Restoranı,346.94,TEST350484
LGR-000609,2024-03-28,Mədaxil - Şəfəq Baytarlıq Kliniki,101.99,TEST350484
LGR-000610,2024-03-27,  Mədaxil - Şəms MMC ,302.43,TEST350484
LGR-000611,2024-01-09,Ödəniş - Ulduz Tekstil,1946.90,TEST343007
